* THIS TABLE IS TO ASSOCIATE PDI KEYS WITH SCREEN ORDER NAMES
*
* 03/07/2005 JL Nelson Created from CACM000B in stream table
* 03/09/2005 JL Nelson Added TSS0505, ACP00135, AAMV0325
* 04/28/2005 JL Nelson Added ZICSTCP?025, no pdi key yet.
* 07/08/2005 JL Nelson Changed RACF0555 to RACF0330 per Charles.
* 03/02/2007 CL Fenton Added additional vulnerabilities.
* 06/28/2007 CL Fenton Added and removed vulnerabilities.
* 07/16/2008 CL Fenton Added and removed vulnerabilities.
* 08/08/2008 CL Fenton Added, changed, and removed vulnerabilities.
* 01/26/2009 CL Fenton Added CATSOL product for element definition.
* 01/25/2010 CL Fenton Chgd to correct IAVMS.
* 07/27/2010 CL Fenton Chgd to correct IAVMS and add HCD and ICSF.
* 10/04/2010 CL Fenton Added ACP00260, TSS0290, and TSS0755.
* 04/05/2011 CL Fenton Corrected target key fields for the BMC INCONTROL.
* 06/30/2011 CL Fenton Added ACP00350 and vuls f/ BMCMVZ, CSSMTP, and
*            VTAPE.
* 01/04/2012 CL Fenton Added new vuls f/ CA 1, CA COMMON SERVICES (CCS),
*            SDSF, and NC-PASS.
* 09/30/2012 CL Fenton Added new vuls f/ ABEND-AID.
* 12/06/2012 CL Fenton Added new vuls F/ HEALTH CHECK, CICS, and CA-MIM.
* 02/11/2013 CL Fenton Added new vuls AAMV0060, ACF0000, TSS0660, TSS0670,
*            TSS0680, TSS0690.
*            Dropped TSS0430.
* 05/04/2015 CL Fenton Commented out DBMS and IDMS vuls, STS-007219 and
*            STS-007637.
* 05/11/2015 CL Fenton Changed target fields for ZJES0022 and
*            ZJES0032, STS-008747.
* 08/19/2015 CL Fenton Added ZAID0002 for ABENDAID, STS-011534.
* 10/26/2015 CL Fenton Removed IAVM entries from table, STS-012220.
* 03/01/2016 CL Fenton Chgd profile to CAPS OFF and added product entries
*            for ACPs and OS.
* 08/29/2016 CL Fenton Added ACP00062 and RACF0540.
* 09/20/2016 CL Fenton Removed AAMV0016.
* 11/14/2016 CL Fenton removed RACF0530, STS-015908.
* 11/16/2016 CL Fenton Added ZCA10001, STS-015909.
* 07/21/2017 CL Fenton Added ZSMT0001, STS-017966.
* 08/01/2017 CL Fenton Added ITCPR052, STS-017968.
* 08/01/2017 CL Fenton Added z/OS, OS/390, and ACPs to products.
* 04/24/2018 CL Fenton Added TSS0485, STS-019874.
* 07/23/2020 CL Fenton Changes made to go from V6 to V7 for z/OS and
*            ACP vuls.
* 05/13/2021 CL Fenton Changes made to update the Vul Keys for V8
*            STIGS, STS-026575.
* 10/22/2021 CL Fenton Changes made to update the Vul and Target Keys
*            for CA1, CL/SuperSession, and ICSF STIGS, STS-027539.
*            Deleted entries that are no longer valid or needed.
* 11/26/2021 CL Fenton Added entries for ACF2 PSWD vuls
*            ACF2-ES-000430, ACF2-ES-000590, ACF2-ES-000820,
*            ACF2-ES-000840, ACF2-ES-000860, ACF2-ES-000870,
*            ACF2-ES-000890, ACF2-ES-000900, ACF2-ES-000850,
*            ACF2-ES-000910, and ACF2-ES-000990, STS-027409,
*            STS-027410, STS-027411, STS-027412, STS-027413,
*            STS-027414, STS-027415, STS-027416, STS-027417,
*            STS-027418, and STS-027419.
* 03/10/2022 CL Fenton Added entries for old IFTP0030 to new vuls
*            ACF2-FT-000060, RACF-FT-000050, and TSS0-FT-000100 for
*            IFTP0030; ACF2-FT-000110, RACF-FT-000110, and
*            TSS0-FT-000080 for IFTP0031; RACF-FT-000070 for IFTP0032,
*            STS-027928, STS-027929, and STS-027930.
* 12/07/2022 CL Fenton Changes made to for generation of product STIGs.
* 03/17/2023 CL Fenton Added entries for ACF2-FT-000120 and
*            TSS0-FT-000130 for IFTP0032.
* 06/08/2023 CL Fenton Added AAMV0510, AAMV0520, AAMV0530, AAMV0540,
*            AAMV0550, AAMV0560, AAMV0570, AAMV0580, AAMV0590, and
*            AAMV0600, TMS-3585, TMS-3586, TMS-3587, TMS-3588, TMS-3589,
*            TMS-3590, TMS-3591, TMS-3592, TMS-3593, TMS-3594.
* 03/13/2024 CL Fenton Changes made to include Rule ID for Vulnerabilities.
*            Added STIG information to identify the STIGs,
*            SCTASK0060915 and SCTASK0107522.
* 07/08/2024 CL Fenton removed AAMV0580, SCTASKU0167777.
*
* An * (asterisk) at the beginning of a line will be ignored.
*
* The following information is to explain this file:
*
* VUL             STIG IDs              RULE ID            ASSET POSTURES
* KEY                                                      ACF2 RACF TSS
*.......  ........................  ................       .... .... ....
V0223561  AAMV0012  ACF2-OS-000250  SV-223561r958804       4100 0000 0000
V0223781  AAMV0012  RACF-OS-000250  SV-223781r958804       0000 4101 0000
V0224017  AAMV0012  TSS0-OS-000210  SV-224017r958804       0000 0000 4102
V0223565  AAMV0030  ACF2-OS-000290  SV-223565r958478       4100 0000 0000
V0223786  AAMV0030  RACF-OS-000300  SV-223786r958478       0000 4101 0000
V0224009  AAMV0030  TSS0-OS-000130  SV-224009r958478       0000 0000 4102
V0223564  AAMV0040  ACF2-OS-000280  SV-223564r958478       4100 0000 0000
V0223784  AAMV0040  RACF-OS-000280  SV-223784r958478       0000 4101 0000
V0224007  AAMV0040  TSS0-OS-000110  SV-224007r958478       0000 0000 4102
V0223566  AAMV0050  ACF2-OS-000310  SV-223566r958478       4100 0000 0000
V0223787  AAMV0050  RACF-OS-000310  SV-223787r958478       0000 4101 0000
V0223997  AAMV0050  TSS0-OS-000010  SV-223997r958478       0000 0000 4102
V0223553  AAMV0070  ACF2-OS-000170  SV-223553r1001127      4100 0000 0000
V0223776  AAMV0070  RACF-OS-000200  SV-223776r998371       0000 4101 0000
V0224025  AAMV0070  TSS0-OS-000290  SV-224025r998506       0000 0000 4102
V0223539  AAMV0160  ACF2-OS-000030  SV-223539r958478       4100 0000 0000
V0223785  AAMV0160  RACF-OS-000290  SV-223785r958478       0000 4101 0000
V0224008  AAMV0160  TSS0-OS-000120  SV-224008r958478       0000 0000 4102
V0223563  AAMV0325  ACF2-OS-000270  SV-223563r958804       4100 0000 0000
V0223783  AAMV0325  RACF-OS-000270  SV-223783r958804       0000 4101 0000
V0224018  AAMV0325  TSS0-OS-000220  SV-224018r958804       0000 0000 4102
V0223562  AAMV0350  ACF2-OS-000260  SV-223562r958804       4100 0000 0000
V0223782  AAMV0350  RACF-OS-000260  SV-223782r958804       0000 4101 0000
V0224019  AAMV0350  TSS0-OS-000225  SV-224019r958804       0000 0000 4102
V0223546  AAMV0370  ACF2-OS-000100  SV-223546r958414       4100 0000 0000
V0223769  AAMV0370  RACF-OS-000130  SV-223769r958414       0000 4101 0000
V0224001  AAMV0370  TSS0-OS-000050  SV-224001r958414       0000 0000 4102
V0223549  AAMV0371  ACF2-OS-000130  SV-223549r958424       4100 0000 0000
V0223772  AAMV0371  RACF-OS-000160  SV-223772r971542       0000 4101 0000
V0224002  AAMV0371  TSS0-OS-000060  SV-224002r958424       0000 0000 4102
V0223550  AAMV0372  ACF2-OS-000140  SV-223550r1038966      4100 0000 0000
V0223773  AAMV0372  RACF-OS-000170  SV-223773r1038966      0000 4101 0000
V0224075  AAMV0372  TSS0-US-000020  SV-224075r1038966      0000 0000 4102
V0223557  AAMV0373  ACF2-OS-000210  SV-223557r991589       4100 0000 0000
V0223757  AAMV0373  RACF-OS-000010  SV-223757r958636       0000 4101 0000
V0224031  AAMV0373  TSS0-OS-000350  SV-224031r991589       0000 0000 4102
V0223544  AAMV0380  ACF2-OS-000080  SV-223544r1001122      4100 0000 0000
V0223767  AAMV0380  RACF-OS-000110  SV-223767r998368       0000 4101 0000
V0223998  AAMV0380  TSS0-OS-000020  SV-223998r998499       0000 0000 4102
V0223548  AAMV0400  ACF2-OS-000120  SV-223548r958754       4100 0000 0000
V0223771  AAMV0400  RACF-OS-000150  SV-223771r958754       0000 4101 0000
V0224022  AAMV0400  TSS0-OS-000250  SV-224022r958754       0000 0000 4102
V0223478  AAMV0410  ACF2-ES-000600  SV-223478r991589       4100 0000 0000
V0223710  AAMV0410  RACF-ES-000630  SV-223710r991589       0000 4101 0000
V0224004  AAMV0410  TSS0-OS-000080  SV-224004r991589       0000 0000 4102
V0223479  AAMV0420  ACF2-ES-000610  SV-223479r991589       4100 0000 0000
V0223711  AAMV0420  RACF-ES-000640  SV-223711r991589       0000 4101 0000
V0224005  AAMV0420  TSS0-OS-000090  SV-224005r991589       0000 0000 4102
V0223556  AAMV0440  ACF2-OS-000200  SV-223556r991589       4100 0000 0000
V0223778  AAMV0440  RACF-OS-000220  SV-223778r991589       0000 4101 0000
V0224003  AAMV0440  TSS0-OS-000070  SV-224003r991589       0000 0000 4102
V0223570  AAMV0500  ACF2-OS-000350  SV-223570r958524       4100 0000 0000
V0251107  AAMV0500  RACF-OS-000350  SV-251107r958524       0000 4101 0000
V0224010  AAMV0500  TSS0-OS-000140  SV-224010r958524       0000 0000 4102
V0223540  AAMV0510  ACF2-OS-000040  SV-223540r1001142      4100 0000 0000
